blind_id,title,doi,arxiv_id,first_screener_decision
S001,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,10.1109/ICPADS63350.2024.00040,,
S002,"AdaPrefix++: Integrating Adapters, Prefixes and Hypernetwork for Continual Learning",10.1109/WACV61041.2025.00709,,DEFER
S003,ApiQ: Finetuning of 2-Bit Quantized Large Language Model,10.48550/arXiv.2402.05147,2402.05147,DEFER
S004,Decentralised Learning in Federated Deployment Environments,10.1145/3429252,,
S005,DoRA: Weight-Decomposed Low-Rank Adaptation,10.48550/arXiv.2402.09353,2402.09353,INCLUDE
S006,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,10.48550/arXiv.2503.11880,2503.11880,INCLUDE
S007,Totoro: A Scalable Federated Learning Engine for the Edge,10.1145/3627703.3629575,,DEFER
S008,PC-MoE: memory-efficient and privacy-preserving collaborative training for Mixture-of-Experts LLMs,10.1007/s10994-025-06901-2,,DEFER
S009,Demons in the Detail: On Implementing Load Balancing Loss for Training Specialized Mixture-of-Expert Models,10.48550/arXiv.2501.11873,2501.11873,DEFER
S010,Birds in Cages: Edge Inference Allocation for Distributed LLM Deployment,10.1109/IWQoS65803.2025.11143464,,DEFER
S011,Implicit model specialization through dag-based decentralized federated learning,10.1145/3464298.3493403,,DEFER
S012,Not All Directions Matter: Toward Structured and Task-Aware Low-Rank Adaptation,,2603.14228,DEFER
S013,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,10.48550/arXiv.2307.13269,2307.13269,INCLUDE
S014,Parameter-efficient fine-tuning of large-scale pre-trained language models,10.1038/s42256-023-00626-4,,INCLUDE
S015,Peer-to-Peer Deep Learning,,,
S016,Towards Modular LLMs by Building and Reusing a Library of LoRAs,10.48550/arXiv.2405.11157,2405.11157,INCLUDE
S017,An Empirical Study of Parameter-Efficient Fine-Tuning in Code Change Learning and Beyond,10.1109/TSE.2025.3637335,,DEFER
S018,Parameter-efficient Weight Ensembling Facilitates Task-level Knowledge Transfer,10.18653/v1/2023.acl-short.24,,DEFER
S019,Scaling Federated Learning for Fine-tuning of Large Language Models,10.1007/978-3-030-80599-9_2,,DEFER
S020,Multi-task Peer-to-Peer Learning using Encoder-only Transformers,,,
S021,Decentralized federated learning of deep neural networks on non-iid data,,,
S022,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,10.1109/GLOBECOM52923.2024.10901572,,
S023,Towards Efficient Generative Large Language Model Serving: A Survey from Algorithms to Systems,10.1145/3754448,,
S024,Federated Large Language Models: Current Progress and Future Directions,10.48550/arXiv.2409.15723,2409.15723,DEFER
S025,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,10.48550/arXiv.2308.06522,2308.06522,INCLUDE
S026,Adaptive Budget Allocation for Parameter-Efficient Fine-Tuning,10.48550/arXiv.2303.10512,2303.10512,INCLUDE
S027,"Fine-Tune Smarter, Not Harder: Parameter-Efficient Fine-Tuning for Geospatial Foundation Models",10.1007/978-3-032-06106-5_30,,DEFER
S028,AlpaServe: Statistical Multiplexing with Model Parallelism for Deep Learning Serving,,,
S029,MAdaKron: A mixture-of-AdaKron adapters,10.1016/j.knosys.2025.115086,,DEFER
S030,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,10.52202/079017-0461,,
S031,MoS: Unleashing Parameter Efficiency of Low-Rank Adaptation with Mixture of Shards,10.48550/arXiv.2410.00938,2410.00938,DEFER
S032,SGLang: Efficient Execution of Structured Language Model Programs,10.52202/079017-2000,,DEFER
S033,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,10.48550/arXiv.2309.05444,2309.05444,INCLUDE
S034,Pruning Adatperfusion with Lottery Ticket Hypothesis,10.18653/v1/2022.findings-naacl.123,,DEFER
S035,L4Q: Parameter Efficient Quantization-Aware Fine-Tuning on Large Language Models,10.18653/v1/2025.acl-long.99,,DEFER
S036,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,10.18653/v1/2023.findings-acl.632,,INCLUDE
S037,SLoRA: Scalable Serving of Thousands of LoRA Adapters,,,
S038,Distributed Inference with Deep Learning Models across Heterogeneous Edge Devices,10.1109/INFOCOM48880.2022.9796896,,
S039,Memory Efficient Continual Learning with Transformers,10.52202/068431-0772,,
