title,suggestion,suggestion_reason
A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,keep,Peer-reviewed (Scopus); direct fit — multi-task LoRA+prompt PEFT.
ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,review,"arXiv-only — I4 requires checking Semantic Scholar citation count before inclusion; otherwise strong fit (PEFT+MoE, Pillar 1/5)."
AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,keep,Double-sourced; direct fit — multi-adapter inference latency (Pillar 3).
Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,keep,Double-sourced; direct fit — federated PEFT (Pillar 2).
Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,keep,Peer-reviewed (WoS); direct fit — federated LoRA for large models.
An enhanced low-rank fine-tuning framework for federated large language models,keep,Peer-reviewed (WoS); direct fit — federated LLM PEFT.
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,keep,Peer-reviewed (WoS); direct fit — federated PEFT pipeline.
Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,review,"arXiv-only — I4 citation check needed; fit is adjacent (multi-task adapter-state tuning, not federated/P2P/serving specifically)."
BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,keep,Peer-reviewed (WoS); direct fit — federated on-device LoRA quantisation.
Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,review,arXiv-only — I4 citation check needed; direct fit (federated LoRA rank heterogeneity).
CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,review,"arXiv-only — I4 citation check needed; fit is adjacent (multi-task LoRA, not federated/serving)."
CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,review,"arXiv-only — I4 citation check needed; fit is adjacent (adapter routing for safety alignment, not federated/serving)."
CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,keep,Peer-reviewed (WoS); direct fit — multi-tenant LoRA serving (Pillar 3).
D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,keep,Peer-reviewed (WoS); direct fit — MoE-LoRA multi-task adaptation (Pillar 1/5).
DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,keep,Peer-reviewed (Scopus); direct fit — DP federated LoRA.
DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,keep,Peer-reviewed (WoS); direct fit — federated LoRA multimodal.
DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,keep,"Peer-reviewed (WoS), WoS-only; strongest topical fit found — decentralised-LoRA convergence theory bears directly on the review's P2P gap claim."
DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,keep,Double-sourced; direct fit — multi-tenant composite LoRA serving (Pillar 3).
