arxiv_id,title,published,matched_queries,summary
2609.08059,MI-PEFT: Mixture-of-Experts Integrated Parameter-Efficient Fine-Tuning Protein Language Models Improves Acidophilic Proteins Classification,2026-09-07T23:51:12Z,Q1_core_adapter_peft,"Acidophilic proteins that remain stable and functional under highly acidic conditions, are important for industrial biocatalysis, acid-related bioprocessing, and the discovery of acid-stable enzymes. However, their identification relies heavily on time-consuming experimental screening methods. With "
2609.06072,ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,2026-09-05T13:05:01Z,Q4_adapter_fusion_routing,"Parameter-efficient fine-tuning (PEFT) of mixture-of-experts (MoE) models commonly attaches a separate low-rank adapter to each expert. This expert-wise design fragments adaptation in three ways: capacity is split across narrow low-rank updates, gradient supervision becomes sparse and imbalanced und"
2609.03150,Routing Is Not Enough: Diagnosing Intra-Adapter Subspace Contention in MoE+LoRA Fine-Tuning,2026-09-02T20:32:58Z,Q4_adapter_fusion_routing,"Multi-domain fine-tuning often combines MoE routing with LoRA, assuming that token-level routing separates domain-specific updates. We test this assumption in MoE+LoRA using Python code paired with biomedical text and mathematical reasoning. Although these domains show near-disjoint expert routing, "
2609.02101,Federated LoRA Adaptation of BiomedCLIP Across Four International Chest X-Ray Cohorts,2026-09-02T04:40:05Z,Q1_core_adapter_peft;Q3_p2p_distributed_learning,"Federated learning (FL) lets institutions train a shared model without exchanging data, and Low-Rank Adaptation (LoRA) makes this practical at scale by communicating only compact low-rank updates. Biomedical imaging is a compelling setting for this combination: patient data are archived behind priva"
2609.00632,Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,2026-09-01T03:09:20Z,Q3_p2p_distributed_learning,"Large Language Models (LLMs) have achieved remarkable success across diverse domains, but their adaptation to privacy-sensitive, distributed datasets remains a challenge. While Federated Learning (FL) combined with Low-Rank Adaptation (LoRA) provides a resource-efficient paradigm for collaborative f"
2609.00078,RW-LoRA: Communication-Efficient Decentralized LoRA Fine-Tuning via Random Walks,2026-08-31T08:24:24Z,Q1_core_adapter_peft,"Parameter-efficient fine-tuning methods such as LoRA have become a standard approach for adapting large foundation models. Adopting fine-tuning to distributed settings faces several challenges. Most existing distributed LoRA methods rely on centralized aggregation, and gossip-based decentralized LoR"
2608.24783,MoE-based Feature Adapter for Prompt-free Binary Coronary Artery Segmentation in X-ray Angiography,2026-08-25T16:24:53Z,Q4_adapter_fusion_routing,"Accurate segmentation of coronary arteries in X-ray angiography videos is essential for quantitative coronary analysis and image-guided interventions. However, accurate segmentation remains challenging because coronary vessels are thin and exhibit low contrast, while the presence of catheters, guide"
2608.21909,CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,2026-08-22T10:45:48Z,Q1_core_adapter_peft;Q2_multitask_multiadapter_serving,"While Multi-Task Learning (MTL) is essential for adapting Large Language Models (LLMs) to diverse domains, prevailing LoRA-based methods rely on complex routing mechanisms that partition task-specific knowledge. In this work, we reveal that such routing-based designs are prone to a training-inferenc"
2608.21278,CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,2026-08-21T16:36:10Z,Q6_frozen_backbone_adapter,"Improving the safety of large language models (LLMs) often comes at the expense of utility, as globally applied safety tuning may affect model responses to both harmful and benign inputs. We propose \textbf{C}ontinuous \textbf{L}at\textbf{E}nt \textbf{A}dapter \textbf{R}outing (CLEAR), a conditional"
2608.09742,Rethinking Factor Sharing in Federated LoRA: A Rank-Aware Adaptive Approach,2026-08-10T15:38:45Z,Q3_p2p_distributed_learning,"Low-rank adaptation (LoRA) represents large language model (LLM) updates with two compact matrix factors, i.e., $A$ and $B$, providing an efficient way to fine-tune large models in federated learning paradigm. Inspired by the asymmetric roles of the LoRA factors, we study whether $A$ should be share"
