Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
She23,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng et al.,2023,2023-11-06,ArXiv,abs/2311.03285,,"The""pretrain-then-finetune""paradigm is commonly adopted in the deployment of large language models. Low-Rank Adaptation (LoRA), a parameter-efficient fine-tuning method, is often employed to adapt a base model to a multitude of tasks, resulting in a substantial collection of LoRA adapters derived from one base model. We observe that this paradigm presents significant opportunities for batched inference during serving. To capitalize on these opportunities, we present S-LoRA, a system designed for the scalable serving of many LoRA adapters. S-LoRA stores all adapters in the main memory and fetches the adapters used by the currently running queries to the GPU memory. To efficiently use the GPU memory and reduce fragmentation, S-LoRA proposes Unified Paging. Unified Paging uses a unified memory pool to manage dynamic adapter weights with different ranks and KV cache tensors with varying sequence lengths. Additionally, S-LoRA employs a novel tensor parallelism strategy and highly optimized custom CUDA kernels for heterogeneous batching of LoRA computation. Collectively, these features enable S-LoRA to serve thousands of LoRA adapters on a single GPU or across multiple GPUs with a small overhead. Compared to state-of-the-art libraries such as HuggingFace PEFT and vLLM (with naive support of LoRA serving), S-LoRA can improve the throughput by up to 4 times and increase the number of served adapters by several orders of magnitude. As a result, S-LoRA enables scalable serving of many task-specific fine-tuned models and offers the potential for large-scale customized fine-tuning services. The code is available at https://github.com/S-LoRA/S-LoRA",154,63,10.48550/arXiv.2311.03285,https://doi.org/10.48550/arXiv.2311.03285,4.5000
Wu24h,dLoRA: Dynamically Orchestrating Requests and Adapters for LoRA LLM Serving,Bingya Wu et al.,2024,,USENIX Symposium on Operating Systems Design and Implementation,,911-927,,62,28,,https://www.semanticscholar.org/paper/47101e6a62f1a26bfe713017e9fe888026445c20,4.0500
Che23g,Punica: Multi-Tenant LoRA Serving,Lequn Chen et al.,2023,2023-10-28,Conference on Machine Learning and Systems,abs/2310.18547,,"Low-rank adaptation (LoRA) has become an important and popular method to adapt pre-trained models to specific domains. We present Punica, a system to serve multiple LoRA models in a shared GPU cluster. Punica contains a new CUDA kernel design that allows batching of GPU operations for different LoRA models. This allows a GPU to hold only a single copy of the underlying pre-trained model when serving multiple, different LoRA models, significantly enhancing GPU efficiency in terms of both memory and computation. Our scheduler consolidates multi-tenant LoRA serving workloads in a shared GPU cluster. With a fixed-sized GPU cluster, our evaluations show that Punica achieves 12x higher throughput in serving multiple LoRA models compared to state-of-the-art LLM serving systems while only adding 2ms latency per token. Punica is open source at https://github.com/punica-ai/punica .",78,30,10.48550/arXiv.2310.18547,https://doi.org/10.48550/arXiv.2310.18547,3.8500
Li24p,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li et al.,2024,2024-01-20,ArXiv,abs/2401.11240,,"Pre-trained large language models (LLMs) often need specialization for domain-specific tasks. Low-Rank Adaptation (LoRA) is a popular approach that adapts a base model to multiple tasks by adding lightweight trainable adapters. In this paper, we present CaraServe, a system that efficiently serves many LoRA adapters derived from a common base model. CaraServe maintains the base model on GPUs and dynamically loads activated LoRA adapters from main memory. As GPU loading results in a cold-start that substantially delays token generation, CaraServe employs a CPU-assisted approach. It early starts the activated adapters on CPUs for prefilling as they are being loaded onto GPUs; after loading completes, it then switches to the GPUs for generative LoRA inference. CaraServe develops a highly optimized synchronization mechanism to efficiently coordinate LoRA computation on the CPU and GPU. Moreover, CaraServe employs a rank-aware scheduling algorithm to optimally schedule heterogeneous LoRA requests for maximum service-level objective (SLO) attainment. We have implemented CaraServe and evaluated it against state-of-the-art LoRA serving systems. Our results demonstrate that CaraServe can speed up the average request serving latency by up to 1.4$\times$ and achieve an SLO attainment of up to 99%.",29,13,10.48550/arXiv.2401.11240,https://doi.org/10.48550/arXiv.2401.11240,3.0500
Kwo23,Efficient Memory Management for Large Language Model Serving with PagedAttention,Woosuk Kwon et al.,2023,2023-09-12,Proceedings of the 29th Symposium on Operating Systems Principles,,,"High throughput serving of large language models (LLMs) requires batching sufficiently many requests at a time. However, existing systems struggle because the key-value cache (KV cache) memory for each request is huge and grows and shrinks dynamically. When managed inefficiently, this memory can be significantly wasted by fragmentation and redundant duplication, limiting the batch size. To address this problem, we propose PagedAttention, an attention algorithm inspired by the classical virtual memory and paging techniques in operating systems. On top of it, we build vLLM, an LLM serving system that achieves (1) near-zero waste in KV cache memory and (2) flexible sharing of KV cache within and across requests to further reduce memory usage. Our evaluations show that vLLM improves the throughput of popular LLMs by 2--4× with the same level of latency compared to the state-of-the-art systems, such as FasterTransformer and Orca. The improvement is more pronounced with longer sequences, larger models, and more complex decoding algorithms. vLLM's source code is publicly available at https://github.com/vllm-project/vllm.",4850,1883,10.1145/3600006.3613165,https://doi.org/10.1145/3600006.3613165,2.9000
Ili24,Chameleon: Adaptive Caching and Scheduling for Many-Adapter LLM Inference Environments,Nikoleta Iliakopoulou et al.,2024,2024-11-24,Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture,,,"The effectiveness of LLMs has triggered an exponential rise in their deployment, imposing substantial demands on inference clusters. Such clusters often handle numerous concurrent queries for different LLM downstream tasks. To handle multi-task settings with vast LLM parameter counts, Low-Rank Adaptation (LoRA) enables task-specific fine-tuning while sharing most of the base LLM model across tasks. Hence, it supports concurrent task serving with reduced memory requirements. However, existing designs face inefficiencies: they overlook workload heterogeneity, impose high CPU-GPU link bandwidth from frequent adapter loading, and suffer from head-of-line blocking in their schedulers. To address these challenges, we present Chameleon, a novel LLM serving system optimized for many-adapter environments. Chameleon introduces two new ideas: adapter caching and adapter-aware scheduling. First, Chameleon caches popular adapters in GPU memory, minimizing adapter loading times. For caching, it uses otherwise idle GPU memory, avoiding extra memory costs. Second, Chameleon uses a non-preemptive multi-queue scheduler to efficiently account for workload heterogeneity. In this way, Chameleon simultaneously prevents head of line blocking and starvation. Under high loads, Chameleon reduces the P99 and P50 TTFT latencies by 80.7% and 48.1%, respectively, over a state-of-the-art baseline, while improving the throughput by 1.5 ×.",8,5.8,10.1145/3725843.3756083,https://doi.org/10.1145/3725843.3756083,2.8500
Li25m,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference",Suyi Li et al.,2025,,USENIX Annual Technical Conference,,613-629,,5,4.0,,https://www.semanticscholar.org/paper/69d631b3875149050ab3088501cfc9d5cbea9e99,2.6000
Zho24k,DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving,Yinmin Zhong et al.,2024,2024-01-18,USENIX Symposium on Operating Systems Design and Implementation,,193-210,"DistServe improves the performance of large language models (LLMs) serving by disaggregating the prefill and decoding computation. Existing LLM serving systems colocate the two phases and batch the computation of prefill and decoding across all users and requests. We find that this strategy not only leads to strong prefill-decoding interferences but also couples the resource allocation and parallelism plans for both phases. LLM applications often emphasize individual latency for each phase: time to first token (TTFT) for the prefill phase and time per output token (TPOT) of each request for the decoding phase. In the presence of stringent latency requirements, existing systems have to prioritize one latency over the other, or over-provision compute resources to meet both. DistServe assigns prefill and decoding computation to different GPUs, hence eliminating prefill-decoding interferences. Given the application's TTFT and TPOT requirements, DistServe co-optimizes the resource allocation and parallelism strategy tailored for each phase. DistServe also places the two phases according to the serving cluster's bandwidth to minimize the communication caused by disaggregation. As a result, DistServe significantly improves LLM serving performance in terms of the maximum rate that can be served within both TTFT and TPOT constraints on each GPU. Our evaluations show that on various popular LLMs, applications, and latency requirements, DistServe can serve 7.4x more requests or 12.6x tighter SLO, compared to state-of-the-art systems, while staying within latency constraints for>90% of requests.",497,223,10.48550/arXiv.2401.09670,https://doi.org/10.48550/arXiv.2401.09670,2.3000
She24e,SLoRA: Scalable Serving of Thousands of LoRA Adapters,Ying Sheng et al.,2024,,Conference on Machine Learning and Systems,,,,32,14,,https://www.semanticscholar.org/paper/ecf8cb103a07e78cb3d88944691ed39e48e6cd07,2.2000
Shi25e,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Xiao Shi, Jiangsu Du, Zhiguang Chen, and Yutong Lu",2025,2025-11-10,2025 IEEE 43rd International Conference on Computer Design (ICCD),,277-284,"LoRA is a widely used Parameter-Efficient FineTuning (PEFT) technique for customizing pre-trained backbone models to specific tasks. Serving a backbone model with numerous LoRA adapters, known as multi-tenant LoRA serving, is a common scenario where different users utilize distinct LoRA adapters while sharing the same backbone model. To support more LoRA adapters simultaneously and improve efficiency, existing solutions dynamically load adapters from host memory and separate workloads into batched backbone model computation and adapter computation. However, they introduce complex data dependencies and necessitate careful coordination of loading and computation to enhance efficiency. We introduce AuLoRA, a multi-tenant LoRA serving system that achieves fine-grained orchestration of adapter loading and computation alongside backbone model execution. It optimizes both Time-to-First-Token (TTFT) and throughput by: 1) layer-wise-priority LoRA adapter loading, which reorganizes adapter loading by layer, to perform inference before adapters are fully loaded and overlaps adapter loading with backbone computation. 2) Intra-layer pipelined LoRA adapter execution, which loads LoRA adapters and performs computation in a pipelined manner, further hiding the adapter loading overhead. 3) Dynamic LoRA adapter batching, which explores the optimal LoRA adapter batching plan by comprehensively considering kernel launch overhead and modern hardware parallelism, improving computational efficiency. We compare AuLoRA with S-LoRA, a state-of-the-art multi-tenant LoRA serving system, and the results show that AuLoRA can achieve up to $3.03 \times$ TTFT reduction and $1.27 \times$ throughput improvement.",0,,10.1109/ICCD65941.2025.00046,https://doi.org/10.1109/ICCD65941.2025.00046,2.1500
