title,year,sources,venue_or_id,claude_suggestion,claude_suggestion_reason,author_decision
AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37",keep,Double-sourced; direct fit — multi-adapter inference latency (Pillar 3).,keep
Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,Scopus;WoS,IEEE Transactions on Computers;IEEE TRANSACTIONS ON COMPUTERS,keep,Double-sourced; direct fit — federated PEFT (Pillar 2).,skip
DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Scopus;WoS,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026",keep,Double-sourced; direct fit — multi-tenant composite LoRA serving (Pillar 3).,keep
Enhancing Aggregation Efficiency and Training Stability in Heterogeneous Federated Learning Using the Adaptive LoRA FL Framework,2026,Scopus;WoS,Journal of Advances in Information Technology;JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,keep,Double-sourced; direct fit — federated LoRA aggregation/stability.,skip
FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 24",keep,"Double-sourced; direct fit — federated LoRA, also independently found via arXiv (triple-sourced).",keep
FedFA: Efficient federated large language models with feature adapters,2026,Scopus;WoS,Expert Systems with Applications;EXPERT SYSTEMS WITH APPLICATIONS,keep,Double-sourced; direct fit — federated LLM adapters.,skip
MeLoRA: Probability measures-based low-rank adaptation with Gaussian variational inference,2026,Scopus;WoS,Knowledge-Based Systems;KNOWLEDGE-BASED SYSTEMS,keep,Double-sourced; direct fit — core LoRA/PEFT method (Pillar 1).,skip
PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,Scopus;WoS,"2026 International Conference on Computing, Networking and Communications, ICNC 2026;2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC",keep,Double-sourced; direct fit — federated LoRA privacy (Pillar 2).,keep
pFedLoRA: Model-Heterogeneous Personalized Federated Learning With Homogeneous Low-Rank Adapter Sharing on Mobile Edge Devices,2026,Scopus;WoS,IEEE Transactions on Mobile Computing;IEEE TRANSACTIONS ON MOBILE COMPUTING,keep,Double-sourced; direct fit — federated LoRA personalisation (Pillar 2).,keep
A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,2026,Scopus,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026",keep,Peer-reviewed (Scopus); direct fit — multi-task LoRA+prompt PEFT.,skip
ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,2026,arXiv,arXiv:2609.06072,review,"arXiv-only — I4 requires checking Semantic Scholar citation count before inclusion; otherwise strong fit (PEFT+MoE, Pillar 1/5).",skip
Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,2026,WoS,"ADVANCED DATA MINING AND APPLICATIONS, ADMA 2025, PT I",keep,Peer-reviewed (WoS); direct fit — federated LoRA for large models.,skip
An enhanced low-rank fine-tuning framework for federated large language models,2026,WoS,NEUROCOMPUTING,keep,Peer-reviewed (WoS); direct fit — federated LLM PEFT.,skip
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,keep,Peer-reviewed (WoS); direct fit — federated PEFT pipeline.,keep
Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.05250,review,"arXiv-only — I4 citation check needed; fit is adjacent (multi-task adapter-state tuning, not federated/P2P/serving specifically).",skip
BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,keep,Peer-reviewed (WoS); direct fit — federated on-device LoRA quantisation.,skip
Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,2026,arXiv,arXiv:2609.00632,review,arXiv-only — I4 citation check needed; direct fit (federated LoRA rank heterogeneity).,skip
CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.21909,review,"arXiv-only — I4 citation check needed; fit is adjacent (multi-task LoRA, not federated/serving).",skip
CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,2026,arXiv,arXiv:2608.21278,review,"arXiv-only — I4 citation check needed; fit is adjacent (adapter routing for safety alignment, not federated/serving).",skip
CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,2026,WoS,"2026 31ST ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC",keep,Peer-reviewed (WoS); direct fit — multi-tenant LoRA serving (Pillar 3).,skip
D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 34",keep,Peer-reviewed (WoS); direct fit — MoE-LoRA multi-task adaptation (Pillar 1/5).,skip
DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,2026,Scopus,IEEE International Conference on Communications,keep,Peer-reviewed (Scopus); direct fit — DP federated LoRA.,skip
DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,keep,Peer-reviewed (WoS); direct fit — federated LoRA multimodal.,skip
DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,2026,WoS,NEURAL NETWORKS,keep,"Peer-reviewed (WoS), WoS-only; strongest topical fit found — decentralised-LoRA convergence theory bears directly on the review's P2P gap claim.",keep
EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,2026,arXiv,arXiv:2607.01789,review,"arXiv-only — I4 citation check needed; direct fit (PEFT+MoE, Pillar 1/5).",skip
Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Scopus,Transactions on Machine Learning Research,keep,"Peer-reviewed (Scopus); direct fit — multi-adapter serving, KV-cache reuse (Pillar 3).",skip
Efficient multi-tenant LoRA serving via SGMV-specific operator autotuning,2026,WoS,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,keep,Peer-reviewed (WoS); direct fit — multi-tenant LoRA serving kernel (Pillar 3).,skip
Explainable multilingual NMT with adapters and mixture-of-experts: a study on low-resource Indic languages,2026,Scopus,International Journal of Speech Technology,review,"Peer-reviewed (Scopus) but borderline domain — machine-translation application; adapter+MoE composition technique is real but the paper's core contribution is MT quality, not the review's pillars.",skip
Exploring Backdoor Attacks in Federated Learning Under Parameter-Efficient Fine Tuning,2026,WoS,"INFORMATION SECURITY, ISC 2025",review,"Peer-reviewed (WoS); addresses federated PEFT but the contribution is a security/backdoor analysis, not a mechanism this review's synthesis covers — tangential rather than core.",skip
FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,keep,Peer-reviewed (WoS); direct fit — verifiable federated LoRA.,skip
FORCE: Federated Orthogonality-Aware Low-Rank Adaptation for Communication-Efficient Fine-Tuning,2026,WoS,IEEE NETWORKING LETTERS,keep,Peer-reviewed (WoS); direct fit — communication-efficient federated LoRA.,skip
FedGSA: Geometry-Consistent Subspace Aggregation for Differentially Private Federated LoRA,2026,arXiv,arXiv:2608.03267,review,arXiv-only — I4 citation check needed; direct fit (DP federated LoRA aggregation).,skip
FedLoDrop: Federated LoRA With Dropout for Generalized LLM Fine-Tuning,2026,WoS,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,keep,Peer-reviewed (WoS); direct fit — federated LoRA with dropout.,skip
FedMosaic: Federated Retrieval-Augmented Generation via Parametric Adapters,2026,Scopus,SIGIR 2026 - Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,keep,Peer-reviewed (Scopus); direct fit — federated RAG via adapters (Pillar 2).,skip
FedP2EFT: Federated Learning to Personalize PEFT for Multilingual LLMs,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 27",keep,"Peer-reviewed (WoS); direct fit — federated PEFT personalisation, multilingual.",skip
FedQuad: Adaptive Layer-Wise LoRA Deployment and Activation Quantization for Federated Fine-Tuning,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,keep,Peer-reviewed (WoS); direct fit — federated LoRA deployment+quantisation.,skip
FedWeave: Rethinking the Unit of Specialization in Heterogeneous Federated MoE-LoRA,2026,arXiv,arXiv:2607.26618,review,arXiv-only — I4 citation check needed; direct fit (federated MoE-LoRA specialisation).,skip
Federated LoRA Fine-Tuning for LLMs via Collaborative Alignment,2026,arXiv,arXiv:2605.21217,review,"arXiv-only — I4 citation check needed; direct fit (federated LoRA, collaborative alignment).",skip
Federated LoRA Fine-Tuning of LLMs With Only Transmitting Matrix A or B,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,keep,Peer-reviewed (WoS); direct fit — federated LoRA communication efficiency.,skip
HAFLQ: Heterogeneous Adaptive Federated LoRA Fine-Tuned LLM With Quantization,2026,WoS,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,keep,Peer-reviewed (WoS); direct fit — federated LoRA with quantisation.,skip
Improving Dialect Robustness in Large Language Models via LoRA and Mixture-of-Experts,2026,Scopus,"VarDial 2026 - 13th Workshop on NLP for Similar Languages, Varieties and Dialects, Proceedings of the Workshop",review,Peer-reviewed (Scopus) but borderline domain — dialect-robustness NLP application rather than a PEFT/federated/serving mechanism contribution.,skip
Localized LoRA-MoE: Block-wise Low-Rank Experts With Adaptive Routing,2026,arXiv,arXiv:2607.05114,review,"arXiv-only — I4 citation check needed; direct fit (LoRA-MoE architecture, Pillar 1/5).",skip
MACE: Modular Adaptive Code Engine with Context-Aware LoRA Expert Routing and Hierarchical Retrieval-Augmented Generation,2026,Scopus,CEUR Workshop Proceedings,review,Peer-reviewed (Scopus) but borderline domain — code-generation application; adapter expert routing mechanism is relevant but framed for a specific downstream task.,skip
MHP-SERVE: Mobile Heterogeneous Parallel Serving for LoRA Inference,2026,WoS,"WIRELESS SENSOR NETWORKS, CWSN 2025",keep,Peer-reviewed (WoS); direct fit — mobile LoRA inference serving (Pillar 3).,skip
MMtuning: An Advanced Multi-adapter Framework for Efficient Multimodal Large Language Models Fine-Tuning,2026,WoS,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT III",keep,"Peer-reviewed (WoS); direct fit — multi-adapter serving framework (multimodal is the application, mechanism is core Pillar 1/2).",skip
MoE$^2$-LoRA: When MoE Models Meet MoE-style Low-Rank Adaptation,2026,arXiv,arXiv:2607.21978,review,"arXiv-only — I4 citation check needed; direct fit (MoE-style LoRA, Pillar 1/5).",skip
MoEGen: Mixture-of-Experts for Instance-Adaptive LoRA Generation,2026,arXiv,arXiv:2608.03275,review,"arXiv-only — I4 citation check needed; direct fit (MoE for instance-adaptive LoRA, Pillar 1/5).",skip
Multi-Adapter LLMs: Dynamic Mixture of LoRAs for Scalable Personalization,2026,Scopus,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",keep,Peer-reviewed (Scopus); strong direct fit — multi-adapter LLM serving/personalisation spans Pillar 1/2/3.,keep
On the Construction and Implications of Low-Loss Valleys in LoRA-based Bayesian Inference,2026,arXiv,arXiv:2605.29580,review,"arXiv-only — I4 citation check needed; direct fit (LoRA theory, Pillar 1).",skip
PEML: Parameter-efficient Multi-Task Learning with Optimized Continuous Prompts,2026,arXiv,arXiv:2605.14055,review,"arXiv-only — I4 citation check needed; fit is adjacent (multi-task prompt tuning, not LoRA/adapters specifically).",skip
PFAdapter: Hierarchical LoRA Decomposition for Personalized Federated MLLMs,2026,arXiv,arXiv:2607.12111,review,"arXiv-only — I4 citation check needed; direct fit (federated multimodal adapters, Pillar 2).",skip
Parameter-Efficient Large Model Transfer and Cloud-Edge Collaborative Inference Method for Edge Devices,2026,Scopus,"2026 IEEE 6th International Conference on Electronic Technology, Communication and Information, ICETCI 2026",keep,Peer-reviewed (Scopus); direct fit — adapter-based cloud-edge serving (Pillar 3).,keep
Per-FedLoRA: Personalized Federated LoRA Fine-Tuning for Multi-Task Large Language Models,2026,Scopus,"2026 International Wireless Communications and Mobile Computing Conference, IWCMC 2026",keep,Peer-reviewed (Scopus); direct fit — federated LoRA multi-task personalisation.,skip
PreLort: Prefix-Nested LoRA for Federated Fine-Tuning under Rank Heterogeneity,2026,arXiv,arXiv:2606.15963,review,arXiv-only — I4 citation check needed; direct fit (federated LoRA rank heterogeneity).,skip
Priority-Aware Learning-Unlearning Correction for Dynamic Decentralized LoRA Fine-Tuning,2026,arXiv,arXiv:2606.22878,review,"arXiv-only — I4 citation check needed; strong topical fit — decentralised federated LoRA, P2P-adjacent (Pillar 2/4).",skip
Prototype-Guided and Lightweight Adapters for Inherent Interpretation and Generalisation in Federated Learning,2026,WoS,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2025, PT VII",keep,"Peer-reviewed (WoS); direct fit — federated adapters, interpretability angle.",skip
RW-LoRA: Communication-Efficient Decentralized LoRA Fine-Tuning via Random Walks,2026,arXiv,arXiv:2609.00078,review,"arXiv-only — I4 citation check needed, but very high topical priority — decentralised LoRA via random-walk gossip is squarely the review's core P2P gap claim.",skip
Rethinking Factor Sharing in Federated LoRA: A Rank-Aware Adaptive Approach,2026,arXiv,arXiv:2608.09742,review,arXiv-only — I4 citation check needed; direct fit (federated LoRA factor-sharing).,skip
Routing Is Not Enough: Diagnosing Intra-Adapter Subspace Contention in MoE+LoRA Fine-Tuning,2026,arXiv,arXiv:2609.03150,review,"arXiv-only — I4 citation check needed; direct fit (MoE+LoRA routing diagnostics, Pillar 1/5).",skip
SpecPrefetch: Parameter-Efficient Expert Prefetching for Sparse MoE Foundation Models,2026,arXiv,arXiv:2607.24787,review,"arXiv-only — I4 citation check needed; direct fit (MoE expert prefetching for serving, Pillar 3/5).",skip
Spend Experts Where You Are Unsure: Confidence-Adaptive Routing for Mixture-of-Experts LoRA,2026,arXiv,arXiv:2607.26052,review,"arXiv-only — I4 citation check needed; direct fit (MoE-LoRA routing, Pillar 1/5).",skip
Statistical Inference for Rank Allocation in Low-Rank Adaptation,2026,arXiv,arXiv:2607.20205,review,"arXiv-only — I4 citation check needed; direct fit (LoRA rank-allocation theory, Pillar 1).",skip
TailorLLM: Collaborative End-Cloud Inference of Large and Small Language Models Based on Low-Rank Adaptation,2026,Scopus,EUROSYS 2026 - Proceedings of the 2026 European Conference on Computer Systems,keep,Peer-reviewed (Scopus); direct fit — LoRA-based end-cloud serving (Pillar 3).,keep
Task-Aware Cloud-End Offloading for Vision-Language Model Serving via Dynamic Modality-Specific Adapter Scheduling,2026,Scopus,WWW 2026 - Proceedings of the ACM Web Conference 2026,skip,"Peer-reviewed (Scopus) but off-core-domain — vision-language model serving, not an LLM/text adapter system; matched on adapter-scheduling keyword only, same pattern as the 28 already dropped in abstract screening.",skip
TransFR: Transferable Federated Recommendation with Adapter Tuning on Pre-trained Language Models,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 33",skip,"Peer-reviewed (WoS) but off-core-domain — federated recommendation systems; adapter tuning is an implementation detail, not the review's subject, same pattern as the 28 already dropped in abstract screening.",skip
