Q,label,query_original_2026-04,query_topup_2026-09
Q1,Core Adapter-Based NLP,"TITLE-ABS-KEY((""adapter"" OR ""adapters"" OR ""LoRA"" OR ""low-rank"")
AND (""parameter-efficient"" OR ""PEFT"" OR ""parameter efficient"")
AND (""NLP"" OR ""natural language processing"" OR ""transformer""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2018","TITLE-ABS-KEY((""adapter"" OR ""adapters"" OR ""LoRA"" OR ""low-rank"")
AND (""parameter-efficient"" OR ""PEFT"" OR ""parameter efficient"")
AND (""NLP"" OR ""natural language processing"" OR ""transformer""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q2,Multi-Task Learning with Transformers,"TITLE-ABS-KEY(((""adapter*"" OR ""LoRA"" OR ""parameter-efficient fine-tuning"")
AND (""multi-task"" OR ""multitask"" OR ""multi-adapter"")
AND (""inference"" OR ""serving"" OR ""deployment"" OR ""edge"")))
AND SRCTYPE(j OR p)
AND PUBYEAR > 2020
AND NOT TITLE-ABS-KEY((""medical"" OR ""healthcare"" OR ""clinical"" OR ""sentiment"" OR ""recommendation""))","TITLE-ABS-KEY(((""adapter*"" OR ""LoRA"" OR ""parameter-efficient fine-tuning"")
AND (""multi-task"" OR ""multitask"" OR ""multi-adapter"")
AND (""inference"" OR ""serving"" OR ""deployment"" OR ""edge"")))
AND SRCTYPE(j OR p)
AND PUBYEAR > 2025
AND NOT TITLE-ABS-KEY((""medical"" OR ""healthcare"" OR ""clinical"" OR ""sentiment"" OR ""recommendation""))"
Q3,Peer-to-Peer & Distributed NLP,"TITLE-ABS-KEY((""peer-to-peer"" OR ""P2P"" OR ""decentralized"" OR ""federated"")
AND (""learning"" OR ""training"" OR ""inference"")
AND (""NLP"" OR ""natural language"" OR ""machine learning"" OR ""deep learning""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2017","TITLE-ABS-KEY((""peer-to-peer"" OR ""P2P"" OR ""decentralized"" OR ""federated"")
AND (""learning"" OR ""training"" OR ""inference"")
AND (""NLP"" OR ""natural language"" OR ""machine learning"" OR ""deep learning""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q4,Adapter Fusion & Dynamic Routing,"TITLE-ABS-KEY((""adapter"" OR ""adapters"")
AND (""fusion"" OR ""routing"" OR ""dynamic"" OR ""mixture-of-experts"" OR ""MoE"" OR ""gating""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2020","TITLE-ABS-KEY((""adapter"" OR ""adapters"")
AND (""fusion"" OR ""routing"" OR ""dynamic"" OR ""mixture-of-experts"" OR ""MoE"" OR ""gating""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q5,Parameter-Efficient Multi-Task Transformers,"TITLE-ABS-KEY((""parameter-efficient"" OR ""PEFT"" OR ""efficient adaptation"")
AND (""multi-task"" OR ""multitask"")
AND (""transformer"" OR ""pre-trained models""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2019","TITLE-ABS-KEY((""parameter-efficient"" OR ""PEFT"" OR ""efficient adaptation"")
AND (""multi-task"" OR ""multitask"")
AND (""transformer"" OR ""pre-trained models""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q6,Modular Inference & Task Switching,"TITLE-ABS-KEY((""modular"" OR ""modularity"")
AND (""inference"" OR ""inference time"")
AND (""adapter"" OR ""task-specific"" OR ""lightweight modules""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2018","TITLE-ABS-KEY((""modular"" OR ""modularity"")
AND (""inference"" OR ""inference time"")
AND (""adapter"" OR ""task-specific"" OR ""lightweight modules""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q7,Agent-Based Collaborative Learning,"TITLE-ABS-KEY((""agent"" OR ""agents"" OR ""node"" OR ""nodes"")
AND (""collaborative"" OR ""collaboration"" OR ""decentralized"")
AND (""deep learning"" OR ""neural network"" OR ""model training""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2017","TITLE-ABS-KEY((""agent"" OR ""agents"" OR ""node"" OR ""nodes"")
AND (""collaborative"" OR ""collaboration"" OR ""decentralized"")
AND (""deep learning"" OR ""neural network"" OR ""model training""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q8,NL-to-SQL with Adapters,"TITLE-ABS-KEY((""NL-to-SQL"" OR ""semantic parsing"" OR ""natural language to SQL"")
AND (""adapter"" OR ""fine-tun*"" OR ""parameter-efficient"" OR ""efficient""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2019","TITLE-ABS-KEY((""NL-to-SQL"" OR ""semantic parsing"" OR ""natural language to SQL"")
AND (""adapter"" OR ""fine-tun*"" OR ""parameter-efficient"" OR ""efficient""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q9,Sequence Labelling & Token Classification with PEFT,"TITLE-ABS-KEY((""token classification"" OR ""NER"" OR ""named entity recognition"" OR ""sequence labeling"")
AND (""adapter"" OR ""LoRA"" OR ""parameter-efficient"" OR ""PEFT""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2019","TITLE-ABS-KEY((""token classification"" OR ""NER"" OR ""named entity recognition"" OR ""sequence labeling"")
AND (""adapter"" OR ""LoRA"" OR ""parameter-efficient"" OR ""PEFT""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
Q10,Frozen Base Model Paradigm,"TITLE-ABS-KEY((""frozen"" OR ""freeze"" OR ""frozen base"")
AND (""adapter"" OR ""efficient"" OR ""modular"")
AND (""transfer learning"" OR ""fine-tun*""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2018","TITLE-ABS-KEY((""frozen"" OR ""freeze"" OR ""frozen base"")
AND (""adapter"" OR ""efficient"" OR ""modular"")
AND (""transfer learning"" OR ""fine-tun*""))
AND SRCTYPE(""j"" OR ""p"")
AND PUBYEAR > 2025"
